,namespace,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
21,cbpdigital,9.58,0.0,1.08,0.02,0.0,0.32,0.0,0.0,0.0
22,ceabb,30.08,1.0,5.3,1.23,0.0,13.25,11.0,115.21,0.26
23,ceespacolivre,34.87,12.0,2.77,0.51,0.0,108.0,50.0,82.22,0.46
24,cem,84.44,23.0,4.14,3.24,0.0,0.0,58.0,90.69,1.05
25,ceprimeiromundo,29.27,17.0,4.97,0.19,0.0,3.97,66.0,13.58,0.56
26,charlesdarwin,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,ciadosaber,1.2,1.0,5.55,0.0,0.0,0.0,21.0,73.07,0.0
28,colegioarena,5.19,0.0,38.73,0.75,0.0,3.14,1.0,2.26,0.02
29,colegiobatistaindependente,1.83,0.0,20.0,0.37,0.0,4.62,0.0,0.0,0.02
30,colegiobetelbrasileirosp,59.3,43.0,43.4,0.0,0.0,12.76,101.0,59.76,0.56
31,colegiobilac,34.33,26.0,8.4,0.22,0.0,15.27,93.0,94.4,0.11
32,colegiobrasilia,14.65,403.0,4.42,2.33,133.0,5.02,1103.0,247.46,0.63
33,colegiocb,30.45,42.0,0.9,0.0,0.0,0.0,74.0,72.85,0.16
34,colegiodasamericas,97.4,66.0,0.8,5.15,4.0,1.65,160.0,49.95,1.42
35,colegioeag,36.53,0.0,18.7,0.1,1.0,53.43,125.0,27.71,2.22
36,colegioecursodesafio,17.37,1.0,2.1,0.05,0.0,4.26,22.0,91.4,0.2
